run,q_con,q_mod,n,LKL_greedy,LKL_ILP
1,0.5,0.6,6,-5.627,-5.221
1,0.5,0.7,4,-4.151,-4.151
1,0.5,0.7,5,-7.252,-7.252
1,0.5,0.7,6,-9.015,-9.015
1,0.5,0.8,4,-1.833,-1.833
1,0.5,0.8,5,-4.135,-2.972
1,0.5,0.8,6,-6.438,-4.111
1,0.5,0.9,4,-1.597,-1.597
1,0.5,0.9,5,-2.396,-2.396
1,0.5,0.9,6,-3.299,-3.299
1,0.6,0.1,4,-1.638,-1.638
1,0.6,0.1,5,-2.359,-2.359
1,0.6,0.1,6,-3.186,-3.186
1,0.6,0.2,4,-1.873,-1.873
1,0.6,0.2,5,-3.054,-3.054
1,0.6,0.2,6,-4.193,-4.193
1,0.6,0.3,4,-2.497,-2.497
1,0.6,0.3,5,-4.569,-4.569
1,0.6,0.3,6,-6.198,-6.198
1,0.6,0.4,4,-2.554,-2.554
1,0.6,0.4,5,-4.492,-4.492
1,0.6,0.4,6,-7.857,-7.857
1,0.6,0.5,4,-2.813,-2.408
1,0.6,0.5,5,-5.116,-4.305
1,0.6,0.5,6,-7.013,-6.202
1,0.6,0.6,4,-3.365,-3.365
1,0.6,0.6,5,-6.114,-5.303
1,0.6,0.6,6,-8.457,-7.346
1,0.6,0.7,4,-2.988,-2.092
1,0.6,0.7,5,-3.855,-2.959
1,0.6,0.7,6,-5.976,-4.183
1,0.6,0.8,4,-2.854,-2.854
1,0.6,0.8,5,-3.811,-3.811
1,0.6,0.8,6,-4.768,-4.768
1,0.6,0.9,4,-1.232,-1.232
1,0.6,0.9,5,-1.849,-1.849
1,0.6,0.9,6,-2.465,-2.465
1,0.7,0.1,4,-1.029,-1.029
1,0.7,0.1,5,-1.702,-1.702
1,0.7,0.1,6,-2.48,-2.48
1,0.7,0.2,4,-2.23,-2.23
1,0.7,0.2,5,-4.419,-4.419
1,0.7,0.2,6,-6.516,-6.516
1,0.7,0.3,4,-2.631,-2.631
1,0.7,0.3,5,-4.548,-4.548
1,0.7,0.3,6,-7.313,-7.313
1,0.7,0.4,4,-2.582,-2.14
1,0.7,0.4,5,-5.213,-4.33
1,0.7,0.4,6,-6.997,-6.114
1,0.7,0.5,4,-2.793,-2.793
1,0.7,0.5,5,-5.229,-5.229
1,0.7,0.5,6,-7.665,-7.665
1,0.7,0.6,4,-2.988,-2.246
1,0.7,0.6,5,-6.093,-5.351
1,0.7,0.6,6,-7.135,-7.135
1,0.7,0.7,4,-2.274,-2.274
1,0.7,0.7,5,-2.987,-2.987
1,0.7,0.7,6,-4.057,-4.057
1,0.7,0.8,4,-1.383,-1.383
1,0.7,0.8,5,-1.963,-1.963
1,0.7,0.8,6,-2.542,-2.542
1,0.7,0.9,4,-0.924,-0.924
1,0.7,0.9,5,-3.689,-3.583
1,0.7,0.9,6,-6.348,-6.243
1,0.8,0.1,4,-0.762,-0.762
1,0.8,0.1,5,-1.302,-1.302
1,0.8,0.1,6,-3.332,-3.332
1,0.8,0.2,4,-2.279,-2.279
1,0.8,0.2,5,-4.335,-4.335
1,0.8,0.2,6,-4.781,-4.781
1,0.8,0.3,4,-2.903,-2.364
1,0.8,0.3,5,-4.686,-4.147
1,0.8,0.3,6,-8.213,-7.135
1,0.8,0.4,4,-3.771,-2.79
1,0.8,0.4,5,-5.015,-4.034
1,0.8,0.4,6,-6.771,-5.79
1,0.8,0.5,4,-2.526,-2.526
1,0.8,0.5,5,-4.135,-4.135
1,0.8,0.5,6,-5.745,-5.745
1,0.8,0.6,4,-2.384,-2.384
1,0.8,0.6,5,-4.034,-4.034
1,0.8,0.6,6,-5.279,-5.279
1,0.8,0.7,4,-1.16,-1.16
1,0.8,0.7,5,-1.739,-1.739
1,0.8,0.7,6,-2.319,-2.319
1,0.8,0.8,4,-0.893,-0.893
1,0.8,0.8,5,-4.558,-4.335
1,0.8,0.8,6,-5.227,-5.004
1,0.8,0.9,4,-0.657,-0.657
1,0.8,0.9,5,-0.986,-0.986
1,0.8,0.9,6,-1.419,-1.419
1,0.9,0.1,4,-0.527,-0.527
1,0.9,0.1,5,-0.948,-0.948
1,0.9,0.1,6,-1.475,-1.475
1,0.9,0.2,4,-0.88,-0.88
1,0.9,0.2,5,-3.041,-3.041
1,0.9,0.2,6,-5.202,-5.202
1,0.9,0.3,4,-1.771,-1.771
1,0.9,0.3,5,-3.794,-3.794
1,0.9,0.3,6,-4.613,-4.613
1,0.9,0.4,4,-3.835,-2.96
1,0.9,0.4,5,-4.451,-3.576
1,0.9,0.4,6,-5.984,-5.108
1,0.9,0.5,4,-1.597,-1.597
1,0.9,0.5,5,-3.089,-3.089
1,0.9,0.5,6,-3.887,-3.887
1,0.9,0.6,4,-1.638,-1.638
1,0.9,0.6,5,-3.276,-2.765
1,0.9,0.6,6,-5.214,-5.214
1,0.9,0.7,4,-2.975,-2.975
1,0.9,0.7,5,-3.794,-3.794
1,0.9,0.7,6,-5.46,-5.46
1,0.9,0.8,4,-0.657,-0.657
1,0.9,0.8,5,-2.595,-2.595
1,0.9,0.8,6,-3.37,-3.147
1,0.9,0.9,4,-4.921,-4.921
1,0.9,0.9,5,-5.343,-5.343
1,0.9,0.9,6,-5.659,-5.553
2,0.1,0.1,4,-0.421,-0.421
2,0.1,0.1,5,-0.843,-0.843
2,0.1,0.1,6,-1.159,-1.159
2,0.1,0.2,4,-2.266,-2.266
2,0.1,0.2,5,-2.595,-2.595
2,0.1,0.2,6,-3.147,-3.147
2,0.1,0.3,4,-0.924,-0.924
2,0.1,0.3,5,-1.386,-1.386
2,0.1,0.3,6,-1.848,-1.848
2,0.1,0.4,4,-2.149,-2.149
2,0.1,0.4,5,-3.276,-3.276
2,0.1,0.4,6,-3.892,-3.892
2,0.1,0.5,4,-1.597,-1.597
2,0.1,0.5,5,-2.396,-2.396
2,0.1,0.5,6,-3.194,-3.194
2,0.1,0.6,4,-2.554,-2.554
2,0.1,0.6,5,-4.087,-4.087
2,0.1,0.6,6,-6.025,-6.025
2,0.1,0.7,4,-4.325,-2.975
2,0.1,0.7,5,-4.641,-4.641
2,0.1,0.7,6,-5.951,-5.951
2,0.1,0.8,4,-3.43,-3.43
2,0.1,0.8,5,-5.144,-5.144
2,0.1,0.8,6,-10.301,-10.301
2,0.1,0.9,4,-7.118,-7.013
