,n,p,Metric,LogLKL,KendallTau,KernelSim
75,6,0.8,ReverseLPA,-8.89233071419271,0.06666666666666665,0.49444444444444446
76,6,0.8,ILP-PA1,-2.5020121176909393,-0.3333333333333333,1.0
77,6,0.8,ILP-PA2,-0.8925742052568388,-0.06666666666666665,1.0
78,6,0.9,ReverseLPA,-10.263945528554448,0.2,0.1962962962962963
79,6,0.9,ILP-PA1,-4.815891217303744,-0.06666666666666665,0.21018518518518517
80,6,0.9,ILP-PA2,-4.815891217303744,-0.06666666666666665,0.21018518518518517
81,6,0.1,ReverseLPA,-9.631782434607487,-0.2,0.4777777777777778
82,6,0.1,ILP-PA1,-10.053224497238793,0.06666666666666665,1.0
83,6,0.1,ILP-PA2,-7.329197341613442,0.7333333333333333,0.7222222222222223
84,6,0.2,ReverseLPA,-7.33032585499324,-0.6,1.0
85,6,0.2,ILP-PA1,-7.99975650893587,0.4666666666666666,0.22737395526522858
86,6,0.2,ILP-PA2,-8.446043611564289,0.4666666666666666,0.20331769404899414
87,6,0.3,ReverseLPA,-6.242590993058674,-0.2,0.20277777777777775
88,6,0.3,ILP-PA1,-8.382640656691068,0.6,0.4263903386923128
89,6,0.3,ILP-PA2,-6.8219929084264,0.6,1.0
90,6,0.4,ReverseLPA,-7.541046886308893,-0.3333333333333333,0.46296296296296297
91,6,0.4,ILP-PA1,-6.219291046326574,0.8666666666666666,0.16604989442399765
92,6,0.4,ILP-PA2,-3.259697819388456,0.06666666666666665,0.46666666666666673
93,6,0.5,ReverseLPA,-11.090354888959125,0.4666666666666666,0.24629629629629626
94,6,0.5,ILP-PA1,-5.545177444479562,-0.06666666666666665,0.49074074074074076
95,6,0.5,ILP-PA2,-6.238324625039508,0.6,0.1953846295023697
96,6,0.6,ReverseLPA,-7.751767917624546,-0.3333333333333333,0.49444444444444446
97,6,0.6,ILP-PA1,-3.3650583350462817,0.4666666666666666,0.4851851851851852
98,6,0.6,ILP-PA2,-6.219291046326574,0.3333333333333333,0.16740232778345937
99,6,0.7,ReverseLPA,-7.312615824874871,0.06666666666666665,0.4583333333333333
100,6,0.7,ILP-PA1,-8.293861657771814,-0.3333333333333333,0.19046654663779075
101,6,0.7,ILP-PA2,-9.363886489588012,0.7333333333333333,0.17536684433024677
102,6,0.8,ReverseLPA,-9.561761368135338,0.2,1.0
103,6,0.8,ILP-PA1,-1.1157177565710485,-0.3333333333333333,1.0
104,6,0.8,ILP-PA2,-2.0082919618278874,0.06666666666666665,0.3573728823213367
105,6,0.9,ReverseLPA,-10.685387591185751,0.2,1.0
106,6,0.9,ILP-PA1,-0.5268025782891315,-0.3333333333333333,1.0
107,6,0.9,ILP-PA2,-0.9482446409204366,0.06666666666666665,0.3573728823213367
108,6,0.1,ReverseLPA,-9.631782434607487,0.06666666666666665,0.48055555555555557
109,6,0.1,ILP-PA1,-7.329197341613442,0.2,0.4916666666666667
110,6,0.1,ILP-PA2,-7.329197341613442,0.2,0.4916666666666667
111,6,0.2,ReverseLPA,-8.93976376742734,0.3333333333333333,0.1962962962962963
112,6,0.2,ILP-PA1,-9.60919442136997,0.3333333333333333,0.2050498799711241
113,6,0.2,ILP-PA2,-5.05145728861651,-0.3333333333333333,1.0
114,6,0.3,ReverseLPA,-9.854509406036483,0.4666666666666666,0.19907407407407407
115,6,0.3,ILP-PA1,-9.007211545649279,-0.2,0.4583333333333333
116,6,0.3,ILP-PA2,-4.8158912173037445,-0.2,0.6231998199566862
117,6,0.4,ReverseLPA,-7.541046886308893,-0.06666666666666665,0.16666666666666666
118,6,0.4,ILP-PA1,-7.240942293858556,0.4666666666666666,0.17871796283570304
119,6,0.4,ILP-PA2,-7.240942293858555,0.7333333333333333,0.16297191962518082
120,6,0.5,ReverseLPA,-7.624618986159398,0.2,0.46296296296296297
121,6,0.5,ILP-PA1,-4.852030263919617,0.2,0.14903954898800337
122,6,0.5,ILP-PA2,-8.317766166719343,0.2,0.14903954898800337
123,6,0.6,ReverseLPA,-9.284244788922518,0.3333333333333333,0.4694444444444444
124,6,0.6,ILP-PA1,-2.4487676031721275,-0.4666666666666666,0.4694444444444444
125,6,0.6,ILP-PA2,-5.813825938218409,0.3333333333333333,0.1573728823213367
126,6,0.7,ReverseLPA,-7.669290768813603,-0.3333333333333333,0.49074074074074076
127,6,0.7,ILP-PA1,-6.955940880936138,0.2,0.1851851851851852
128,6,0.7,ILP-PA2,-10.077236377465475,0.6,0.21296296296296294
129,6,0.8,ReverseLPA,-9.115474265506919,-0.06666666666666665,0.7555555555555555
130,6,0.8,ILP-PA1,-2.5020121176909393,-0.4666666666666666,1.0
131,6,0.8,ILP-PA2,-5.8965984406387175,0.3333333333333333,0.17797191962518083
132,6,0.9,ReverseLPA,-10.4746665598701,0.06666666666666665,0.48055555555555557
133,6,0.9,ILP-PA1,-5.658775342566354,0.6,0.15334941513868708
134,6,0.9,ILP-PA2,-5.658775342566354,0.6,0.17218841602967352
135,6,0.1,ReverseLPA,-9.631782434607487,-0.4666666666666666,0.4583333333333333
136,6,0.1,ILP-PA1,-7.539918372929094,0.2,0.7222222222222223
137,6,0.1,ILP-PA2,-9.737142950265314,-0.2,0.7222222222222222
138,6,0.2,ReverseLPA,-7.33032585499324,0.2,0.4694444444444444
139,6,0.2,ILP-PA1,-8.669187162878499,0.2,0.2347236720256461
140,6,0.2,ILP-PA2,-6.836605699130189,0.3333333333333333,0.46666666666666673
141,6,0.3,ReverseLPA,-7.44656379738461,-0.2,0.4583333333333333
142,6,0.3,ILP-PA1,-1.917322692203401,-0.06666666666666665,0.2240740740740741
143,6,0.3,ILP-PA2,-1.917322692203401,0.3333333333333333,0.14228388143035023
144,6,0.4,ReverseLPA,-8.457337618183047,0.4666666666666666,0.1962962962962963
145,6,0.4,ILP-PA1,-9.98981448948102,0.3333333333333333,0.2435185185185185
146,6,0.4,ILP-PA2,-9.47898886571503,0.4666666666666666,0.21018518518518517
147,6,0.5,ReverseLPA,-6.931471805599453,-0.06666666666666665,0.22499999999999998
148,6,0.5,ILP-PA1,-7.624618986159398,0.2,0.17502316556091915
149,6,0.5,ILP-PA2,-4.1588830833596715,0.8666666666666666,0.14243773949903288
150,6,0.6,ReverseLPA,-8.262593541390537,-0.2,0.48333333333333334
151,6,0.6,ILP-PA1,-3.3650583350462817,0.6,0.21018518518518517
152,6,0.6,ILP-PA2,-6.6247561544347375,-0.6,0.4916666666666667
153,6,0.7,ReverseLPA,-7.312615824874871,0.06666666666666665,0.20555555555555557
154,6,0.7,ILP-PA1,-3.1212954965293367,0.3333333333333333,0.45555555555555555
155,6,0.7,ILP-PA2,-10.211184349975213,0.3333333333333333,0.16106767959612056
156,6,0.8,ReverseLPA,-9.338617816821127,-0.06666666666666665,0.7555555555555555
157,6,0.8,ILP-PA1,-3.394586322947778,-0.7333333333333333,0.7555555555555555
158,6,0.8,ILP-PA2,-4.064016976890407,0.4666666666666666,0.14816365483868427
159,6,0.9,ReverseLPA,-10.580027075527926,0.06666666666666665,0.24629629629629626
160,6,0.9,ILP-PA1,-0.5268025782891315,-0.4666666666666666,0.49074074074074076
161,6,0.9,ILP-PA2,-3.1454692182566566,0.8666666666666666,0.17403954898800336
162,6,0.1,ReverseLPA,-9.631782434607487,-0.6,0.20277777777777775
163,6,0.1,ILP-PA1,-9.84250346592314,0.3333333333333333,0.23361648662335277
164,6,0.1,ILP-PA2,-9.737142950265314,0.06666666666666665,0.4583333333333333
165,6,0.2,ReverseLPA,-8.93976376742734,-0.3333333333333333,1.0
166,6,0.2,ILP-PA1,-7.776612957621659,0.06666666666666665,0.1729613329569329
167,6,0.2,ILP-PA2,-5.497744391244931,0.9999999999999999,0.1871154281323345
168,6,0.3,ReverseLPA,-7.446563797384611,0.2,0.23796296296296296
169,6,0.3,ILP-PA1,-6.955940880936139,-0.4666666666666666,0.6111716893485689
170,6,0.3,ILP-PA2,-5.0386181887327375,-0.06666666666666665,0.4777777777777778
171,6,0.4,ReverseLPA,-9.373628350057203,0.7333333333333333,0.19907407407407407
172,6,0.4,ILP-PA1,-9.884453973823192,-0.3333333333333333,0.3474342300147795
173,6,0.4,ILP-PA2,-8.457337618183049,0.06666666666666665,1.0
174,6,0.5,ReverseLPA,-8.317766166719343,-0.2,0.4583333333333333
175,6,0.5,ILP-PA1,-3.4657359027997265,-0.6,0.1821332133044574
176,6,0.5,ILP-PA2,-8.317766166719343,-0.2,0.2074074074074074
177,6,0.6,ReverseLPA,-7.240942293858555,-0.3333333333333333,0.75
178,6,0.6,ILP-PA1,-2.854232711280291,-0.06666666666666665,0.2074074074074074
179,6,0.6,ILP-PA2,-7.135581778200728,0.3333333333333333,0.1962962962962963
180,6,0.7,ReverseLPA,-8.025965712752335,0.06666666666666665,0.24629629629629626
181,6,0.7,ILP-PA1,-3.477970440468069,0.06666666666666665,0.736111111111111
182,6,0.7,ILP-PA2,-6.8219929084264,-0.4666666666666666,0.4768518518518518
183,6,0.8,ReverseLPA,-9.338617816821127,-0.2,1.0
184,6,0.8,ILP-PA1,-3.394586322947778,-0.2,1.0
185,6,0.8,ILP-PA2,-3.394586322947778,-0.3333333333333333,1.0
186,6,0.9,ReverseLPA,-10.4746665598701,0.3333333333333333,0.5055555555555555
187,6,0.9,ILP-PA1,-2.7240271556253512,-0.2,0.75
188,6,0.9,ILP-PA2,-5.869496373882007,0.6,0.5055555555555555
189,6,0.1,ReverseLPA,-9.631782434607487,-0.6,0.46666666666666673
190,6,0.1,ILP-PA1,-10.053224497238793,0.4666666666666666,0.21325502268190222
191,6,0.1,ILP-PA2,-7.434557857271269,0.06666666666666665,0.736111111111111
192,6,0.2,ReverseLPA,-8.93976376742734,-0.4666666666666666,0.2111111111111111
193,6,0.2,ILP-PA1,-4.3345935814392496,-0.06666666666666665,0.17871796283570304
194,6,0.2,ILP-PA2,-2.2788685663767296,-0.06666666666666665,0.1953846295023697
195,6,0.3,ReverseLPA,-7.44656379738461,-0.6,0.48888888888888893
196,6,0.3,ILP-PA1,-8.87326357313954,-0.2,0.20122689207378502
197,6,0.3,ILP-PA2,-3.834645384406802,0.3333333333333333,0.16602661250850997
198,6,0.4,ReverseLPA,-6.6247561544347375,-0.2,0.47222222222222227
199,6,0.4,ILP-PA1,-6.219291046326574,-0.2,0.75
200,6,0.4,ILP-PA2,-7.646407401966719,0.2,0.46296296296296297
201,6,0.5,ReverseLPA,-6.931471805599453,-0.2,0.4666666666666666
202,6,0.5,ILP-PA1,-7.624618986159398,-0.2,0.1963682460752855
203,6,0.5,ILP-PA2,-6.931471805599452,0.3333333333333333,0.15835649889425246
204,6,0.6,ReverseLPA,-8.262593541390537,-0.06666666666666665,0.4694444444444444
205,6,0.6,ILP-PA1,-3.9812444744701,-0.06666666666666665,0.4768518518518518
206,6,0.6,ILP-PA2,-6.6247561544347375,-0.2,0.736111111111111
207,6,0.7,ReverseLPA,-8.739315600629801,-0.2,0.75
208,6,0.7,ILP-PA1,-4.904670216222999,-0.3333333333333333,0.18421654663779072
209,6,0.7,ILP-PA2,-3.477970440468069,0.2,0.75
210,6,0.8,ReverseLPA,-9.338617816821127,-0.06666666666666665,0.7555555555555555
211,6,0.8,ILP-PA1,-4.064016976890407,0.2,0.7444444444444445
212,6,0.8,ILP-PA2,-2.5020121176909393,0.4666666666666666,0.7555555555555555
213,6,0.9,ReverseLPA,-10.4746665598701,0.06666666666666665,0.48055555555555557
214,6,0.9,ILP-PA1,-2.7240271556253512,0.06666666666666665,0.5055555555555555
215,6,0.9,ILP-PA2,-0.5268025782891315,0.2,0.736111111111111
216,6,0.1,ReverseLPA,-9.631782434607487,-0.6,0.7222222222222222
217,6,0.1,ILP-PA1,-9.737142950265314,0.4666666666666666,0.20277777777777775
218,6,0.1,ILP-PA2,-7.539918372929094,0.2,0.7222222222222223
219,6,0.2,ReverseLPA,-7.33032585499324,-0.3333333333333333,0.736111111111111
220,6,0.2,ILP-PA1,-5.94403149387335,0.9999999999999999,0.7333333333333334
221,6,0.2,ILP-PA2,-7.99975650893587,0.3333333333333333,0.17777777777777778
222,6,0.3,ReverseLPA,-7.44656379738461,0.06666666666666665,0.18055555555555555
223,6,0.3,ILP-PA1,-1.917322692203401,-0.6,0.22962962962962963
224,6,0.3,ILP-PA2,-2.2739976361421332,-0.06666666666666665,0.20100678213383494
225,6,0.4,ReverseLPA,-6.6247561544347375,-0.6,1.0
226,6,0.4,ILP-PA1,-6.730116670092565,0.3333333333333333,0.23102887475086226
227,6,0.4,ILP-PA2,-7.240942293858556,0.4666666666666666,0.19400074414274499
228,6,0.5,ReverseLPA,-6.931471805599452,-0.4666666666666666,0.1851851851851852
229,6,0.5,ILP-PA1,-6.238324625039508,0.4666666666666666,0.4444444444444445
230,6,0.5,ILP-PA2,-5.545177444479561,-0.3333333333333333,0.5027777777777778
231,6,0.6,ReverseLPA,-7.751767917624546,0.4666666666666666,0.4444444444444444
232,6,0.6,ILP-PA1,-2.854232711280291,-0.3333333333333333,0.48333333333333334
233,6,0.6,ILP-PA2,-8.562698133840874,0.3333333333333333,0.4694444444444444
234,6,0.7,ReverseLPA,-7.312615824874871,-0.06666666666666665,0.1851851851851852
235,6,0.7,ILP-PA1,-9.007211545649277,0.4666666666666666,0.16668983222758582
236,6,0.7,ILP-PA2,-9.720561433526742,0.2,0.21018518518518517
237,6,0.8,ReverseLPA,-8.446043611564289,-0.3333333333333333,0.4851851851851852
238,6,0.8,ILP-PA1,-3.88830647881083,0.3333333333333333,0.47407407407407404
239,6,0.8,ILP-PA2,-5.274600839930721,-0.06666666666666665,0.2212962962962963
240,6,0.9,ReverseLPA,-10.580027075527926,-0.06666666666666665,0.7555555555555555
241,6,0.9,ILP-PA1,-3.461550765230135,0.06666666666666665,0.20296654663779073
242,6,0.9,ILP-PA2,-3.1454692182566566,-0.4666666666666666,0.7555555555555555
243,6,0.1,ReverseLPA,-9.631782434607487,-0.6,0.4444444444444444
244,6,0.1,ILP-PA1,-10.053224497238793,0.2,0.18919876146566783
245,6,0.1,ILP-PA2,-7.434557857271269,-0.3333333333333333,0.4583333333333333
246,6,0.2,ReverseLPA,-8.93976376742734,-0.6,0.7444444444444445
247,6,0.2,ILP-PA1,-3.6651629274966204,0.8666666666666666,0.16290460567828716
248,6,0.2,ILP-PA2,-9.38605087005576,-0.4666666666666666,1.0
249,6,0.3,ReverseLPA,-7.44656379738461,-0.3333333333333333,0.48333333333333334
250,6,0.3,ILP-PA1,-5.885916049119942,-0.06666666666666665,0.19168983222758582
251,6,0.3,ILP-PA2,-4.3252683008552735,0.06666666666666665,0.3387269106521933
252,6,0.4,ReverseLPA,-6.6247561544347375,0.06666666666666665,0.22685185185185186
253,6,0.4,ILP-PA1,-7.646407401966719,0.4666666666666666,0.4694444444444444
254,6,0.4,ILP-PA2,-7.240942293858556,0.3333333333333333,0.24502423850481103
255,6,0.5,ReverseLPA,-7.624618986159398,-0.3333333333333333,0.75
256,6,0.5,ILP-PA1,-8.317766166719343,0.7333333333333333,0.17807802503211484
257,6,0.5,ILP-PA2,-2.772588722239781,-0.06666666666666665,0.21851851851851853
258,6,0.6,ReverseLPA,-8.773419165156527,-0.2,0.1851851851851852
259,6,0.6,ILP-PA1,-4.897535206344255,0.06666666666666665,0.49074074074074076
260,6,0.6,ILP-PA2,-4.897535206344255,0.06666666666666665,0.49074074074074076
261,6,0.7,ReverseLPA,-9.095990544568533,0.06666666666666665,0.7444444444444445
262,6,0.7,ILP-PA1,-3.700697411897063,0.06666666666666665,0.7444444444444445
263,6,0.7,ILP-PA2,-3.700697411897063,0.06666666666666665,0.7444444444444445
264,6,0.8,ReverseLPA,-8.669187162878499,-0.3333333333333333,0.2074074074074074
265,6,0.8,ILP-PA1,-7.059749250444399,0.9999999999999999,0.16546654663779073
266,6,0.8,ILP-PA2,-4.780880684067669,0.2,0.219976892073785
267,6,0.9,ReverseLPA,-10.4746665598701,-0.2,0.7444444444444445
268,6,0.9,ILP-PA1,-4.92125173296157,0.3333333333333333,0.7555555555555555
269,6,0.9,ILP-PA2,-2.7240271556253512,-0.06666666666666665,1.0
270,6,0.1,ReverseLPA,-9.631782434607487,-0.2,0.18055555555555555
271,6,0.1,ILP-PA1,-7.7506394042447475,0.4666666666666666,0.4111716893485689
272,6,0.1,ILP-PA2,-7.434557857271269,0.2,0.4916666666666667
273,6,0.2,ReverseLPA,-12.15863959229554,-0.2,0.47407407407407404
274,6,0.2,ILP-PA1,-7.330325854993241,0.6,0.17807802503211484
275,6,0.2,ILP-PA2,-7.33032585499324,0.6,0.47222222222222215
276,6,0.3,ReverseLPA,-6.242590993058674,-0.3333333333333333,0.7222222222222222
277,6,0.3,ILP-PA1,-7.312615824874871,0.3333333333333333,0.45555555555555555
278,6,0.3,ILP-PA2,-8.382640656691068,0.6,0.21608977221314785
279,6,0.4,ReverseLPA,-9.373628350057203,-0.2,0.2240740740740741
280,6,0.4,ILP-PA1,-2.3434070875143007,0.06666666666666665,0.2574074074074074
281,6,0.4,ILP-PA2,-8.457337618183049,0.6,0.48055555555555557
282,6,0.5,ReverseLPA,-9.010913347279288,-0.4666666666666666,1.0
283,6,0.5,ILP-PA1,-6.238324625039508,0.06666666666666665,0.15835649889425246
284,6,0.5,ILP-PA2,-9.704060527839234,0.4666666666666666,0.4583333333333333
285,6,0.6,ReverseLPA,-7.751767917624546,0.2,0.1962962962962963
286,6,0.6,ILP-PA1,-7.6464074019667185,0.6,0.14903954898800337
287,6,0.6,ILP-PA2,-2.854232711280291,-0.7333333333333333,0.5055555555555555
288,6,0.7,ReverseLPA,-8.382640656691068,-0.6,1.0
289,6,0.7,ILP-PA1,-4.325268300855273,-0.06666666666666665,0.19927174936300684
290,6,0.7,ILP-PA2,-6.599265936997406,0.3333333333333333,0.1573728823213367
291,6,0.8,ReverseLPA,-8.446043611564289,-0.06666666666666665,0.7222222222222223
292,6,0.8,ILP-PA1,-3.394586322947778,0.6,0.1851851851851852
293,6,0.8,ILP-PA2,-4.557737132753459,0.6,0.19010615564023203
294,6,0.9,ReverseLPA,-10.580027075527926,0.06666666666666665,0.5055555555555555
295,6,0.9,ILP-PA1,-3.4615507652301356,0.6,0.16570621565467003
296,6,0.9,ILP-PA2,-3.4615507652301356,0.6,0.16570621565467003
297,6,0.1,ReverseLPA,-9.631782434607487,-0.4666666666666666,0.7555555555555555
298,6,0.1,ILP-PA1,-7.434557857271268,0.2,0.19999999999999998
299,6,0.1,ILP-PA2,-7.539918372929094,0.8666666666666666,0.19203351099691346
300,6,0.2,ReverseLPA,-7.33032585499324,-0.2,0.4777777777777778
301,6,0.2,ILP-PA1,-8.22290006025008,0.06666666666666665,1.0
302,6,0.2,ILP-PA2,-5.72088794255914,0.7333333333333333,0.7222222222222223
303,6,0.3,ReverseLPA,-8.650536601710547,-0.3333333333333333,0.75
304,6,0.3,ILP-PA1,-7.44656379738461,0.9999999999999999,0.17252711016478092
305,6,0.3,ILP-PA2,-9.007211545649279,0.4666666666666666,0.18803491274195214
306,6,0.4,ReverseLPA,-7.541046886308893,0.06666666666666665,0.2324074074074074
307,6,0.4,ILP-PA1,-6.219291046326573,0.06666666666666665,1.0
308,6,0.4,ILP-PA2,-2.3434070875143007,-0.06666666666666665,0.7777777777777777
309,6,0.5,ReverseLPA,-8.317766166719343,-0.6,0.2435185185185185
310,6,0.5,ILP-PA1,-6.238324625039508,0.6,0.14903954898800337
311,6,0.5,ILP-PA2,-3.4657359027997265,0.06666666666666665,0.2435185185185185
312,6,0.6,ReverseLPA,-8.262593541390537,0.06666666666666665,0.1962962962962963
313,6,0.6,ILP-PA1,-5.813825938218409,-0.4666666666666666,0.21666666666666667
314,6,0.6,ILP-PA2,-5.813825938218409,-0.4666666666666666,0.21666666666666667
315,6,0.7,ReverseLPA,-8.382640656691068,-0.3333333333333333,0.46296296296296297
316,6,0.7,ILP-PA1,-5.751968076610202,-0.06666666666666665,0.16570621565467003
317,6,0.7,ILP-PA2,-4.5479952722842665,0.06666666666666665,0.7407407407407408
318,6,0.8,ReverseLPA,-9.115474265506919,-0.2,0.49074074074074076
319,6,0.8,ILP-PA1,-2.5020121176909393,0.06666666666666665,0.1962962962962963
320,6,0.8,ILP-PA2,-2.5020121176909393,0.2,0.2240740740740741
321,6,0.9,ReverseLPA,-10.369306044212273,-0.3333333333333333,0.4583333333333333
322,6,0.9,ILP-PA1,-4.92125173296157,0.4666666666666666,0.48333333333333334
323,6,0.9,ILP-PA2,-7.539918372929096,0.3333333333333333,0.14903954898800337
324,6,0.1,ReverseLPA,-9.631782434607487,-0.2,1.0
325,6,0.1,ILP-PA1,-7.434557857271268,-0.06666666666666665,1.0
326,6,0.1,ILP-PA2,-7.434557857271268,-0.06666666666666665,1.0
327,6,0.2,ReverseLPA,-8.93976376742734,-0.06666666666666665,0.4694444444444444
328,6,0.2,ILP-PA1,-2.05572501506252,-0.4666666666666666,0.18677174936300686
329,6,0.2,ILP-PA2,-4.11145003012504,0.3333333333333333,0.1564041080220162
330,6,0.3,ReverseLPA,-6.242590993058674,-0.3333333333333333,0.4583333333333333
331,6,0.3,ILP-PA1,-7.669290768813603,0.7333333333333333,0.41950502268190226
332,6,0.3,ILP-PA2,-6.955940880936139,0.6,0.18888888888888888
333,6,0.4,ReverseLPA,-8.457337618183047,0.4666666666666666,0.19444444444444442
334,6,0.4,ILP-PA1,-5.197639798794592,0.4666666666666666,0.19572830827169735
335,6,0.4,ILP-PA2,-5.303000314452419,0.06666666666666665,0.20100678213383494
336,6,0.5,ReverseLPA,-11.090354888959125,-0.2,1.0
337,6,0.5,ILP-PA1,-3.4657359027997265,-0.3333333333333333,1.0
